feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,humidity
1.930093,0.667775,0.009827,0.008522,1.922019,1.928378,1.93806,0.660141,0.667867,0.672474,0.346336,137.380996,0.03893,0.031946,1.262319,0.485906,0.345981,0.928877,0.654019,40.48
1.907185,0.667439,0.007675,0.004687,1.9029,1.90472,1.910338,0.663768,0.667957,0.669516,0.350685,195.441562,0.041867,0.024118,1.239746,0.481525,0.34996,0.758319,0.65004,40.48
1.881148,0.673726,0.011893,0.005659,1.874054,1.879659,1.890779,0.668435,0.67367,0.677874,0.3584,138.610721,0.045475,0.024038,1.207423,0.472596,0.358146,0.644807,0.641854,40.48
1.896479,0.667145,0.009326,0.00582,1.888976,1.894521,1.904989,0.662526,0.666547,0.672186,0.351829,158.985161,0.037016,0.02457,1.229334,0.47953,0.351781,0.768542,0.648219,40.48
1.883188,0.652472,0.005676,0.004004,1.878876,1.881864,1.887945,0.649841,0.653741,0.655696,0.34739,247.363152,0.020226,0.016587,1.230717,0.485363,0.346472,0.827256,0.653528,40.48
1.9023,0.668511,0.009063,0.004625,1.89576,1.900417,1.908861,0.66464,0.669351,0.670545,0.352213,177.217071,0.037087,0.021708,1.233788,0.479922,0.351423,0.675736,0.648577,41.93
1.874042,0.659001,0.010624,0.005094,1.864769,1.872813,1.883346,0.655351,0.65666,0.661339,0.350628,152.88841,0.039016,0.0191,1.215041,0.479676,0.351647,0.648149,0.648353,41.93
1.880777,0.674394,0.009708,0.005577,1.878147,1.881123,1.886297,0.670967,0.675377,0.676239,0.359029,157.32849,0.051521,0.030073,1.206383,0.472134,0.358572,0.729777,0.641428,41.93
1.897254,0.657599,0.007723,0.003467,1.89524,1.898146,1.900964,0.655255,0.65884,0.659372,0.347097,217.668248,0.045693,0.019465,1.239655,0.485216,0.346606,0.619628,0.653394,41.93
1.934246,0.673275,0.008236,0.004603,1.925918,1.933768,1.941369,0.669708,0.67203,0.676686,0.347524,190.560435,0.033621,0.019152,1.260972,0.48359,0.348081,0.71709,0.651919,41.93
1.906776,0.657942,0.007043,0.003136,1.903397,1.907697,1.91101,0.656079,0.657983,0.659574,0.34491,240.267562,0.031181,0.01476,1.248834,0.486929,0.345055,0.616234,0.654945,41.93
1.913634,0.678011,0.010894,0.007257,1.907332,1.911019,1.918177,0.677355,0.679381,0.682208,0.355507,134.542401,0.048404,0.039269,1.235623,0.476772,0.354305,0.799652,0.645695,41.93
1.925299,0.658763,0.009722,0.005192,1.920064,1.926991,1.932596,0.654484,0.656994,0.662512,0.340943,162.452883,0.054425,0.018918,1.266535,0.490133,0.342162,0.696301,0.657838,41.93
1.919271,0.647949,0.007412,0.005109,1.91323,1.918665,1.927355,0.645685,0.648489,0.65186,0.33799,192.892297,0.029407,0.023727,1.271322,0.495214,0.337601,0.816065,0.662399,42.02
1.911137,0.643564,0.00799,0.006871,1.906775,1.910351,1.915588,0.638159,0.642497,0.648426,0.336324,166.421588,0.035984,0.029997,1.267573,0.496173,0.336744,0.92467,0.663256,42.02
1.924426,0.657769,0.010399,0.006194,1.916117,1.921609,1.931355,0.65287,0.65588,0.661192,0.341318,145.620847,0.050962,0.0295,1.266657,0.490535,0.3418,0.746608,0.6582,42.02
1.920474,0.655618,0.00843,0.003923,1.914211,1.923488,1.927161,0.65324,0.654513,0.657109,0.340274,197.461622,0.030666,0.02135,1.264857,0.490998,0.341383,0.635187,0.658617,42.02
1.923047,0.665569,0.009457,0.003157,1.91601,1.922346,1.929437,0.663787,0.66439,0.666767,0.345614,207.069906,0.043548,0.020334,1.257477,0.485772,0.346102,0.50062,0.653898,42.02
1.936812,0.680674,0.009285,0.005678,1.931848,1.935442,1.939712,0.676775,0.682351,0.684522,0.352556,164.240358,0.053892,0.023672,1.256138,0.479902,0.35144,0.758972,0.64856,42.02
1.928873,0.659912,0.007861,0.003587,1.921988,1.927449,1.933496,0.657847,0.661096,0.661941,0.34299,214.6608,0.031556,0.014777,1.268961,0.490176,0.342123,0.626657,0.657877,42.02
1.921561,0.663133,0.013338,0.005137,1.911682,1.921089,1.931387,0.658956,0.662776,0.66681,0.345,136.575117,0.062782,0.020859,1.258428,0.486877,0.345101,0.556143,0.654899,42.02
